Property_ID,SquareFootage,Bedrooms,Bathrooms,YearBuilt,HouseAge,Neighborhood,GarageCars,LotArea,DistanceToCityCenter,Price
PROP-10000,2423.0,3,3.0,2014,10,Suburban North,3.0,7439.0,2.3,587200.0
PROP-10001,2010.0,2,2.5,1973,51,Suburban North,2.0,3944.0,14.8,429100.0
PROP-10002,2521.0,2,2.0,2008,16,Lakeside,2.0,9606.0,21.7,577400.0
PROP-10003,3090.0,2,2.5,1978,46,Lakeside,3.0,9387.0,12.6,677000.0
PROP-10004,1948.0,3,1.5,1997,27,Suburban North,0.0,2645.0,2.9,416900.0
PROP-10005,1948.0,4,2.5,1995,29,West Hills,1.0,7490.0,14.5,486100.0
PROP-10006,3126.0,3,1.5,1966,58,Metro East,2.0,3525.0,9.0,556300.0
PROP-10007,2599.0,1,2.5,1989,35,Metro East,2.0,5838.0,4.7,495800.0
PROP-10008,1795.0,2,1.5,1978,46,Suburban North,2.0,5243.0,21.4,354900.0
PROP-10009,2453.0,5,1.5,2008,16,Suburban North,1.0,9523.0,13.5,568700.0
PROP-10010,1799.0,3,1.5,1984,40,Suburban North,0.0,7792.0,23.4,371100.0
PROP-10011,1797.0,4,1.0,1975,49,Metro East,1.0,4286.0,20.3,360800.0
PROP-10012,2257.0,3,2.5,2006,18,Downtown,1.0,9700.0,17.6,514000.0
PROP-10013,856.0,3,2.5,2013,11,West Hills,1.0,3915.0,1.1,348400.0
PROP-10014,979.0,2,2.0,1999,25,Suburban North,2.0,8325.0,11.3,299300.0
PROP-10015,1735.0,2,1.5,2010,14,Suburban North,0.0,5465.0,5.7,389600.0
PROP-10016,1442.0,3,1.0,1967,57,Suburban North,2.0,6586.0,22.9,301600.0
PROP-10017,2304.0,4,1.0,1977,47,Metro East,1.0,8761.0,5.2,465600.0
PROP-10018,1510.0,3,1.5,1987,37,Downtown,2.0,8804.0,7.9,418100.0
PROP-10019,1182.0,3,3.0,1975,49,West Hills,0.0,10842.0,13.4,326100.0
PROP-10020,3053.0,1,1.5,2011,13,Downtown,1.0,7294.0,7.3,637600.0
PROP-10021,1953.0,5,2.0,1978,46,Downtown,0.0,,6.0,463200.0
PROP-10022,2144.0,4,1.5,2001,23,Suburban North,3.0,6406.0,15.4,503100.0
PROP-10023,1174.0,3,1.5,1976,48,Suburban North,2.0,7955.0,3.1,344800.0
PROP-10024,1746.0,5,2.0,2022,2,Suburban North,2.0,8599.0,2.4,465500.0
PROP-10025,2172.0,3,2.5,2004,20,Suburban North,,7254.0,9.9,470600.0
PROP-10026,1352.0,3,1.5,1972,52,Downtown,3.0,,18.3,378400.0
PROP-10027,2344.0,4,1.0,1966,58,Suburban North,1.0,8329.0,14.3,469500.0
PROP-10028,1710.0,4,2.0,1986,38,Metro East,1.0,8411.0,11.1,386600.0
PROP-10029,1910.0,3,1.5,1969,55,Metro East,2.0,5800.0,14.6,399200.0
PROP-10030,1709.0,2,1.5,1993,31,Suburban North,3.0,4289.0,9.8,438900.0
PROP-10031,3304.0,3,3.5,1995,29,West Hills,0.0,11190.0,23.5,642700.0
PROP-10032,2091.0,5,2.5,1984,40,Metro East,1.0,8729.0,2.3,450200.0
PROP-10033,1412.0,2,2.0,1965,59,Downtown,3.0,6927.0,17.2,404600.0
PROP-10034,2635.0,3,2.0,1983,41,Lakeside,1.0,4657.0,22.4,599500.0
PROP-10035,1306.0,3,2.0,1977,47,Metro East,1.0,5445.0,20.3,299400.0
PROP-10036,2236.0,3,2.0,1982,42,Downtown,2.0,10756.0,5.4,524000.0
PROP-10037,826.0,3,2.5,1965,59,Downtown,2.0,7844.0,8.1,326500.0
PROP-10038,1237.0,5,2.5,1988,36,Metro East,2.0,6124.0,18.2,322900.0
PROP-10039,2228.0,2,1.5,2021,3,Suburban North,3.0,8774.0,3.0,529800.0
PROP-10040,2580.0,2,2.0,1984,40,Downtown,2.0,5464.0,20.5,524400.0
PROP-10041,2211.0,2,2.0,2014,10,Suburban North,0.0,11252.0,18.3,445300.0
PROP-10042,2025.0,4,3.0,1976,48,Suburban North,3.0,10882.0,18.5,468100.0
PROP-10043,1904.0,3,2.5,2005,19,West Hills,1.0,6334.0,3.4,485000.0
PROP-10044,1139.0,3,2.0,1983,41,West Hills,1.0,5928.0,18.2,314800.0
PROP-10045,1632.0,4,1.5,1970,54,Metro East,2.0,2000.0,17.3,358000.0
PROP-10046,1801.0,4,2.5,1985,39,Suburban North,1.0,3796.0,20.9,408100.0
PROP-10047,2787.0,4,1.5,2022,2,Suburban North,0.0,4151.0,2.0,558400.0
PROP-10048,2323.0,5,2.0,2010,14,Suburban North,0.0,7838.0,1.6,539000.0
PROP-10049,954.0,3,1.5,2021,3,Suburban North,1.0,6684.0,10.0,300000.0
PROP-10050,2311.0,4,2.5,1993,31,Downtown,2.0,4137.0,4.6,558800.0
PROP-10051,1850.0,3,1.5,1987,37,Metro East,2.0,6797.0,14.4,436300.0
PROP-10052,1660.0,4,2.0,1962,62,Lakeside,3.0,8763.0,23.0,469100.0
PROP-10053,2498.0,4,3.0,1970,54,Suburban North,1.0,8820.0,10.4,530200.0
PROP-10054,2770.0,4,1.5,1997,27,West Hills,1.0,,21.3,586500.0
PROP-10055,2705.0,3,2.0,2020,4,Downtown,1.0,7179.0,1.0,658100.0
PROP-10056,1555.0,2,2.0,1973,51,Suburban North,,4042.0,5.0,356600.0
PROP-10057,1899.0,3,1.0,2010,14,West Hills,1.0,9754.0,1.7,471700.0
PROP-10058,2315.0,6,2.5,1985,39,Suburban North,2.0,9460.0,8.9,532900.0
PROP-10059,2734.0,5,1.0,2007,17,Metro East,3.0,5255.0,22.8,548500.0
PROP-10060,1789.0,1,2.0,1980,44,West Hills,3.0,5585.0,3.3,441500.0
PROP-10061,1979.0,2,2.0,2013,11,Suburban North,1.0,6347.0,15.6,433700.0
PROP-10062,1381.0,2,2.5,2015,9,Lakeside,2.0,2000.0,11.8,441500.0
PROP-10063,1322.0,4,2.5,1998,26,Downtown,1.0,8340.0,23.5,402600.0
PROP-10064,2628.0,4,2.0,1989,35,Suburban North,1.0,6818.0,3.9,559700.0
PROP-10065,2982.0,2,1.0,2018,6,Suburban North,2.0,9925.0,6.1,575600.0
PROP-10066,2053.0,3,2.5,1967,57,Suburban North,2.0,4754.0,1.7,453900.0
PROP-10067,2752.0,4,2.0,2010,14,Lakeside,1.0,5952.0,11.4,627700.0
PROP-10068,2335.0,4,3.0,1979,45,Suburban North,1.0,3734.0,7.7,508900.0
PROP-10069,1681.0,3,3.0,2007,17,Lakeside,1.0,4989.0,21.9,484700.0
PROP-10070,2335.0,3,3.0,1991,33,West Hills,2.0,4545.0,15.5,515200.0
PROP-10071,3100.0,3,2.0,1981,43,Suburban North,2.0,9990.0,15.7,597300.0
PROP-10072,2077.0,3,2.0,2018,6,Lakeside,3.0,5754.0,13.8,575000.0
PROP-10073,3117.0,3,2.5,1966,58,Downtown,0.0,7810.0,3.2,635000.0
PROP-10074,600.0,3,2.0,1968,56,Downtown,1.0,6548.0,11.7,274200.0
PROP-10075,2634.0,4,1.5,2004,20,Suburban North,2.0,4326.0,25.0,528600.0
PROP-10076,2157.0,3,3.0,1960,64,Suburban North,2.0,7079.0,21.0,463000.0
